articleID,headline,location_response,primary_location_response,specific_community_response,topic_response,information_needs_response
1,NYC Schools Go Remote on Tuesday for Snow Forecast,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'the Bronx', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.8}","{'topic': 'Weather', 'probability': 1.0}","{'information_need': 'Education', 'probability': 1.0}"
2,"Seized From Its Owners, Brooklyn’s ‘Eco-Yogi Slumlord’ House Could Be Yours","[{'location': 'Crown Heights, Brooklyn', 'probability': 1.0}, {'location': 'Dean Street', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}, {'location': '1214 Dean St.', 'probability': 1.0}]","{'primary_location': 'Crown Heights, Brooklyn', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
3,Top NYCHA Chiefs Repeatedly Rejected New Rules to Curb Corrupt Contracts,"[{'location': 'New York', 'probability': 1.0}, {'location': 'Manhattan', 'probability': 1.0}, {'location': 'Bronx', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 0.9}"
4,"LISTEN: ‘We Were the Child’s Family, So We Had To Organize the Funeral’","[{'location': 'Harlem Hospital', 'probability': 1.0}, {'location': 'Harlem', 'probability': 1.0}]","{'primary_location': 'Harlem Hospital', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Arts & Culture', 'probability': 0.9}","{'information_need': 'Health', 'probability': 0.9}"
5,Deluge of Negative Ads Swamp Voters as Pilip and Suozzi Finally Debate,"{'location': 'Queens', 'probability': 1.0}","{'primary_location': 'Long Island', 'probability': 0.8}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 1.0}"
6,New Videos Contradict NYPD Account of Lead-Up to Times Square Attack on Cops,"[{'location': 'Manhattan', 'probability': 1.0}, {'location': 'West 42nd Street', 'probability': 1.0}, {'location': 'Rikers Island', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}, {'location': 'Puerto Rico', 'probability': 1.0}, {'location': 'Colombia', 'probability': 1.0}]","{'primary_location': 'Manhattan', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Crime', 'probability': 1.0}","{'information_need': 'Emergencies and Risks', 'probability': 1.0}"
7,Looking for an NYC Apartment? Good Luck.,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Albany', 'probability': 1.0}, {'location': 'U.S.', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.8}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
8,"Boosts to Bus Service Must Come With Congestion Pricing, State Pols Say","{'location': 'Manhattan', 'probability': 1.0}","{'primary_location': 'Manhattan', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Traffic & Transportation', 'probability': 0.9}","{'information_need': 'Transportation Systems', 'probability': 0.9}"
9,City Council Clears Lawsuit Against Mayor Adams to Press Housing Voucher Expansion,"[{'location': 'New York City', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 0.9}"
10,"Spike in Sewer Backups Leaves New Yorkers in a Soggy Mess, with Long-Term Fixes Years Away","{'location': 'East Elmhurst, Queens', 'probability': 1.0}","{'primary_location': 'East Elmhurst, Queens', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.8}","{'information_need': 'Environment and Planning', 'probability': 1.0}"
11,Bronx Seeks a Boost From Adams’ Ambitious Metro-North Development Scheme,"{'location': 'The Bronx', 'probability': 1.0}","{'primary_location': 'The Bronx', 'probability': 1.0}","{'community': True, 'probability': 0.9}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
12,"Empty Cases, Hungry Kids: School Cafeteria Cuts Send Shockwaves","[{'location': 'New York City', 'probability': 1.0}, {'location': 'Bronx', 'probability': 1.0}, {'location': 'South Bronx', 'probability': 1.0}, {'location': 'Hell’s Kitchen', 'probability': 1.0}, {'location': 'Long Island', 'probability': 1.0}, {'location': 'Manhattan', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Education', 'probability': 1.0}"
13,Albany Pols Grill Adams on ‘Tin Cup Day’,"{'location': 'Albany', 'probability': 1.0}","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 0.9}"
14,Feds Bust 70 NYCHA Supers on Bribery Charges Tied to No-Bid Contracts Flagged by THE CITY,"{'location': 'New York-New Jersey', 'probability': 1.0}","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 0.9}"
15,"Third Eric Adams Fundraiser Pleads Guilty in Phony Donations Scheme, as Campaign Reviews ‘Exhaustive System of Checks’","[{'location': 'Manhattan', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}, {'location': 'Sunnyside, Queens', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}]","{'primary_location': 'Manhattan', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 1.0}"
16,LISTEN: Another Tin Cup Day,"[{'location': 'Albany', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.8}","{'information_need': 'Political Information', 'probability': 0.8}"
17,"Legionnaires’ Disease Kills NYCHA Resident, Puts Brooklyn Public Housing Complex on Alert","{'location': 'Brooklyn', 'probability': 1.0}","{'primary_location': 'Langston Hughes Houses', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.8}","{'information_need': 'Health', 'probability': 1.0}"
18,"NYPD Dragging Many More Vendors to Criminal Court, Data Shows","{'location': 'New York City', 'probability': 1.0}","{'primary_location': 'New York City', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Political Information', 'probability': 0.9}"
19,Evicted Migrant Families Were Told They Could Reclaim Their Stuff. Then It Disappeared.,"[{'location': 'Roosevelt Hotel', 'probability': 1.0}, {'location': 'Row Hotel', 'probability': 1.0}, {'location': 'Times Square', 'probability': 1.0}, {'location': 'Midtown Manhattan', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}, {'location': 'Venezuela', 'probability': 1.0}, {'location': 'Colombia', 'probability': 1.0}]","{'primary_location': 'Row Hotel', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Civic Information', 'probability': 0.8}"
20,Auction of Atlantic Yards Sites Endangers Hard-Fought Housing Promises,"{'location': 'New York State', 'probability': 1.0}","{'primary_location': 'Brooklyn', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
21,"Five Years Later, Still ‘A Long Way to Go’ on NYCHA Agreement With Feds","[{'location': 'Lower Manhattan', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}, {'location': 'Manhattan', 'probability': 1.0}, {'location': 'The Bronx', 'probability': 1.0}, {'location': 'Queens', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Environment and Planning', 'probability': 0.8}"
22,How to File Your Taxes for Free in New York City,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'New York State', 'probability': 1.0}, {'location': 'NY1', 'probability': 1.0}, {'location': 'Food Bank for New York City', 'probability': 1.0}, {'location': 'Urban Upbound', 'probability': 1.0}, {'location': 'AARP', 'probability': 1.0}, {'location': 'New York Public Library', 'probability': 1.0}, {'location': 'Ariva', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.5}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Civic Information', 'probability': 0.9}"
23,Donors to Adams’ 2025 Campaign Say They Were Secretly Reimbursed Thousands of Dollars,"{'location': 'New York City', 'probability': 1.0}","{'primary_location': 'New York City', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 1.0}"
24,"Less Crime, Slower Responses, Greener Parks — the MMR’s Mixed Bag","[{'location': 'New York City', 'probability': 1.0}, {'location': 'Rikers Island', 'probability': 1.0}, {'location': 'Staten Island', 'probability': 1.0}, {'location': 'Bronx', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Emergencies and Risks', 'probability': 0.9}"
25,"Calling Cannabis Rollout a ‘Disaster,’ Hochul Blames Law for Rampant Illegal Sales","[{'location': 'New York', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}, {'location': 'Buffalo', 'probability': 1.0}]","{'primary_location': 'New York', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 0.9}"
26,"E-Bike Battery Fire Hazards Lurk Where New Yorkers Live, Says FDNY","{'location': 'Chinatown', 'probability': 1.0}","{'primary_location': 'New York City', 'probability': 1.0}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.8}","{'information_need': 'Emergencies and Risks', 'probability': 1.0}"
27,City Council Overrides Mayor Adams’ Vetoes of Public Safety Bills,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}, {'location': 'Queens', 'probability': 1.0}, {'location': 'Fort Hamilton military base', 'probability': 1.0}, {'location': 'New Jersey', 'probability': 1.0}, {'location': 'Rikers', 'probability': 1.0}, {'location': 'North Infirmary Command medical facility', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Emergencies and Risks', 'probability': 0.8}"
28,City Cancels Walk-In IDNYC Appointments After Lines of Migrants Stretch Overnight,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Boerum Hill', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}, {'location': 'Harlem', 'probability': 1.0}, {'location': 'Guinea', 'probability': 1.0}, {'location': 'Queens', 'probability': 1.0}, {'location': 'Ecuador', 'probability': 1.0}, {'location': 'U.S.', 'probability': 1.0}]","{'primary_location': 'Boerum Hill, Brooklyn', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Civic Information', 'probability': 0.9}"
29,"How to Safely Charge, Store and Maintain Your E-Bike and Batteries","[{'location': 'New York', 'probability': 1.0}]","{'primary_location': 'New York', 'probability': 1.0}","{'community': False, 'probability': 0.8}","{'topic': 'Safety', 'probability': 0.9}","{'information_need': 'Emergencies and Risks', 'probability': 1.0}"
30,Immigrant Workers Are Informing on Bad Bosses — And Getting Work Permits,"[{'location': 'Manhattan', 'probability': 1.0}, {'location': 'Mexico', 'probability': 1.0}, {'location': 'New York', 'probability': 1.0}, {'location': 'California', 'probability': 1.0}, {'location': 'Massachusetts', 'probability': 1.0}, {'location': 'New York State', 'probability': 1.0}, {'location': 'U.S.', 'probability': 1.0}]","{'primary_location': 'Manhattan', 'probability': 0.8}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Health', 'probability': 0.8}"
31,"Public Hospital Doctors, Without a Raise Since 2020, Heat Up Contract Talks","{'location': 'New York', 'probability': 1.0}","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Health', 'probability': 1.0}"
32,LISTEN: A Traffic Stop and a Housing Deal in a Segregated City,"[{'location': 'New York City', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 1.0}"
33,The City Council is Acting to Overturn Adams Criminal Justice Vetoes. Now What?,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Queens', 'probability': 1.0}, {'location': 'Harlem', 'probability': 1.0}, {'location': 'Georgia', 'probability': 1.0}, {'location': 'Manhattan', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Emergencies and Risks', 'probability': 0.8}"
34,Red Signals: Retail Spaces in Transit System Still Not Moving,"{'location': 'Long Island', 'probability': 1.0}","{'primary_location': 'Grand Central', 'probability': 0.8}","{'community': False, 'probability': 0.8}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Transportation Systems', 'probability': 0.9}"
35,Congress in Rare Agreement on E-Bike Battery Bill Pushed by NY Reps,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'The Bronx', 'probability': 1.0}, {'location': 'Washington, D.C.', 'probability': 1.0}, {'location': 'New York', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Emergencies and Risks', 'probability': 1.0}"
36,STEM Jobs on Brink of Eclipsing Wall Street in NYC Economy,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Manhattan', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': True, 'probability': 0.8}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 1.0}"
37,"Burritos, French Fries and Other Kid Faves Axed by Adams School Budget Cuts","[{'location': 'New York City', 'probability': 1.0}, {'location': 'Bronx', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}, {'location': 'Crown Heights', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Education', 'probability': 1.0}"
38,Abandoned Ghost Boats Haunt City Island’s Shores,"{'location': 'City Island', 'probability': 1.0}","{'primary_location': 'City Island', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.8}","{'information_need': 'Environment and Planning', 'probability': 0.9}"
39,Fickle Rainfall Floods Leave NYC Insurance Pilot With No Payouts,"{'location': 'New York City', 'probability': 1.0}","{'primary_location': 'New York City', 'probability': 1.0}","{'community': True, 'probability': 0.8}","{'topic': 'Weather', 'probability': 0.9}","{'information_need': 'Emergencies and Risks', 'probability': 1.0}"
40,Daily News Staffers Walk Out for 24 Hours During a Brutal Week for Journalism,"{'location': 'New York Daily News', 'probability': 1.0}","{'primary_location': 'New York Daily News', 'probability': 0.8}","{'community': False, 'probability': 0.8}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.8}"
41,LISTEN: Daily News Staffers Explain Why They’re Walking Out,"[{'location': 'New York', 'probability': 1.0}]","{'primary_location': 'New York', 'probability': 1.0}","{'community': False, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.8}","{'information_need': 'Civic Information', 'probability': 0.8}"
42,"Brooklyn’s Chinese-American Donors Question What Became of Sunset Park Arch, as Adams Boosts Similar Manhattan Project","{'location': 'Manhattan', 'probability': 1.0}","{'primary_location': 'Manhattan’s Chinatown', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.8}"
43,"Sudden Cannabis Board Meeting Cancellation Came at Hochul’s Request, Email Suggests","[{'location': 'Cortland, New York', 'probability': 1.0}, {'location': 'Syracuse', 'probability': 1.0}, {'location': 'New York', 'probability': 1.0}, {'location': 'Rochester', 'probability': 1.0}, {'location': 'Victor', 'probability': 1.0}]","{'primary_location': 'Cortland, New York', 'probability': 0.8}","{'community': False, 'probability': 0.8}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
44,"Mayor Hammers Housing, Declares Social Media ‘Hazard’ in Yearly Address","[{'location': 'New York City', 'probability': 1.0}, {'location': 'The Bronx', 'probability': 1.0}, {'location': 'Hostos Community College', 'probability': 1.0}, {'location': 'Albany', 'probability': 1.0}, {'location': 'Chinatown', 'probability': 1.0}, {'location': 'Kimlau Plaza', 'probability': 1.0}, {'location': 'Brooklyn', 'probability': 1.0}, {'location': 'Bayside High School', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': False, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.8}"
45,"How to Join a Community Board, and What to Know Before You Apply","[{'location': 'New York City', 'probability': 1.0}, {'location': 'Manhattan', 'probability': 1.0}, {'location': 'East Harlem', 'probability': 1.0}, {'location': 'The Bronx', 'probability': 1.0}, {'location': 'Queens', 'probability': 1.0}, {'location': 'East Midtown', 'probability': 1.0}, {'location': '14th Street', 'probability': 1.0}, {'location': '59th Street', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Civic Information', 'probability': 0.9}"
46,"State Liquor Authority to Open Probe Into Con Sofrito, Bronx Hot Spot Popular With NYPD and Politicians","[{'location': 'Bronx', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}]","{'primary_location': 'Bronx', 'probability': 1.0}","{'community': False, 'probability': 0.8}","{'topic': 'Restaurants, Clubs & Bars', 'probability': 1.0}","{'information_need': 'Emergencies and Risks', 'probability': 0.9}"
47,Volunteer Shelters House More and More Migrants as City Cranks Up Evictions,"{'location': 'Morrisania', 'probability': 1.0}","{'primary_location': 'Morrisania', 'probability': 0.9}","{'community': True, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Civic Information', 'probability': 0.9}"
48,Adams to Grant $100 Million in Tax Breaks for Two Office Building Upgrades,"{'location': 'Manhattan', 'probability': 1.0}","{'primary_location': 'Manhattan', 'probability': 0.9}","{'community': False, 'probability': 0.9}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 1.0}"
49,Second Avenue Subway Inches Forward on Phase Two Extension,"{'location': 'Second Avenue Subway', 'probability': 1.0}","{'primary_location': 'East Harlem', 'probability': 0.9}","{'community': True, 'probability': 0.8}","{'topic': 'Traffic & Transportation', 'probability': 1.0}","{'information_need': 'Transportation Systems', 'probability': 1.0}"
50,LISTEN: Is Democracy Reemerging Inside NYC’s Dominant Democratic Party?,"[{'location': 'New York City', 'probability': 1.0}]","{'primary_location': '', 'probability': 0.0}","{'community': False, 'probability': 0.9}","{'topic': 'Government & Politics', 'probability': 1.0}","{'information_need': 'Political Information', 'probability': 1.0}"
